domain,status,protocol,reason
enigomusic.com,unreachable,,HTTPS: Connection error: Cannot connect to host enigomusic.com:443 ssl:False [getaddrinfo failed] | HTTP: Connection error: Cannot connect to host enigomusic.com:80 ssl:False [getaddrinfo failed]
reelsafarischarters.com,unreachable,,HTTPS: Connection error: Cannot connect to host reelsafarischarters.com:443 ssl:False [getaddrinfo failed] | HTTP: Connection error: Cannot connect to host reelsafarischarters.com:80 ssl:False [getaddrinfo failed]
whitwell-accounting-llc.business.site,unreachable,,HTTPS: HTTP 404 | HTTP: HTTP 404
bellevueisd.org,unreachable,,HTTPS: Connection error: Cannot connect to host bellevueisd.org:443 ssl:False [getaddrinfo failed] | HTTP: Connection error: Cannot connect to host bellevueisd.org:80 ssl:False [getaddrinfo failed]
h-glogistics.com,unreachable,,HTTPS: Connection error: Cannot connect to host h-glogistics.com:443 ssl:False [getaddrinfo failed] | HTTP: Connection error: Cannot connect to host h-glogistics.com:80 ssl:False [getaddrinfo failed]
mtcdz.net,unreachable,,HTTPS: Connection error: Cannot connect to host mtcdz.net:443 ssl:False [getaddrinfo failed] | HTTP: Connection error: Cannot connect to host mtcdz.net:80 ssl:False [getaddrinfo failed]
yroox.com,unreachable,,HTTPS: Connection error: Cannot connect to host yroox.com:443 ssl:False [getaddrinfo failed] | HTTP: Connection error: Cannot connect to host yroox.com:80 ssl:False [getaddrinfo failed]
evadoyle.com,unreachable,,HTTPS: Connection error: Cannot connect to host evadoyle.com:443 ssl:False [getaddrinfo failed] | HTTP: Connection error: Cannot connect to host evadoyle.com:80 ssl:False [getaddrinfo failed]
montereypeninsulaelderlyhome.com,unreachable,,HTTPS: Connection error: Cannot connect to host montereypeninsulaelderlyhome.com:443 ssl:False [getaddrinfo failed] | HTTP: Connection error: Cannot connect to host montereypeninsulaelderlyhome.com:80 ssl:False [getaddrinfo failed]
allyourblogging.com,unreachable,,HTTPS: 403 Forbidden (Unknown) | HTTP: 403 Forbidden (Unknown)
drariatirakic.com,unreachable,,HTTPS: Connection error: Cannot connect to host drariatirakic.com:443 ssl:False [getaddrinfo failed] | HTTP: Connection error: Cannot connect to host drariatirakic.com:80 ssl:False [getaddrinfo failed]
